Code;English;Português
wiodr16.A01;Crop and animal production, hunting and related service activities;
wiodr16.A02;Forestry and logging;
wiodr16.A03;Fishing and aquaculture;
wiodr16.B;Mining and quarrying;
wiodr16.C10-C12;Manufacture of food products, beverages and tobacco products;
wiodr16.C13-C15;Manufacture of textiles, wearing apparel and leather products;
wiodr16.C16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";
wiodr16.C17;Manufacture of paper and paper products;
wiodr16.C18;Printing and reproduction of recorded media;
wiodr16.C19;Manufacture of coke and refined petroleum products ;
wiodr16.C20;Manufacture of chemicals and chemical products ;
wiodr16.C21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;
wiodr16.C22;Manufacture of rubber and plastic products;
wiodr16.C23;Manufacture of other non-metallic mineral products;
wiodr16.C24;Manufacture of basic metals;
wiodr16.C25;Manufacture of fabricated metal products, except machinery and equipment;
wiodr16.C26;Manufacture of computer, electronic and optical products;
wiodr16.C27;Manufacture of electrical equipment;
wiodr16.C28;Manufacture of machinery and equipment n.e.c.;
wiodr16.C29;Manufacture of motor vehicles, trailers and semi-trailers;
wiodr16.C30;Manufacture of other transport equipment;
wiodr16.C31_C32;"Manufacture of furniture; other manufacturing";
wiodr16.C33;Repair and installation of machinery and equipment;
wiodr16.D35;Electricity, gas, steam and air conditioning supply;
wiodr16.E36;Water collection, treatment and supply;
wiodr16.E37-E39;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";
wiodr16.F;Construction;
wiodr16.G45;Wholesale and retail trade and repair of motor vehicles and motorcycles;
wiodr16.G46;Wholesale trade, except of motor vehicles and motorcycles;
wiodr16.G47;Retail trade, except of motor vehicles and motorcycles;
wiodr16.H49;Land transport and transport via pipelines;
wiodr16.H50;Water transport;
wiodr16.H51;Air transport;
wiodr16.H52;Warehousing and support activities for transportation;
wiodr16.H53;Postal and courier activities;
wiodr16.I;Accommodation and food service activities;
wiodr16.J58;Publishing activities;
wiodr16.J59_J60;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";
wiodr16.J61;Telecommunications;
wiodr16.J62_J63;"Computer programming, consultancy and related activities; information service activities";
wiodr16.K64;Financial service activities, except insurance and pension funding;
wiodr16.K65;Insurance, reinsurance and pension funding, except compulsory social security;
wiodr16.K66;Activities auxiliary to financial services and insurance activities;
wiodr16.L68;Real estate activities;
wiodr16.M69_M70;"Legal and accounting activities; activities of head offices; management consultancy activities";
wiodr16.M71;"Architectural and engineering activities; technical testing and analysis";
wiodr16.M72;Scientific research and development;
wiodr16.M73;Advertising and market research;
wiodr16.M74_M75;"Other professional, scientific and technical activities; veterinary activities";
wiodr16.N;Administrative and support service activities;
wiodr16.O84;"Public administration and defence; compulsory social security";
wiodr16.P85;Education;
wiodr16.Q;Human health and social work activities;
wiodr16.R_S;Other service activities;
wiodr16.T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";
wiodr16.U;Activities of extraterritorial organizations and bodies;
