Code;English;Português
ISO3.NZL;New Zealand;Nova Zelândia
ISO3.NIC;Nicaragua;Nicarágua
ISO3.NER;Niger;Níger
ISO3.NGA;Nigeria;Nigéria
ISO3.NIU;Niue;
ISO3.NFK;Norfolk Island;
ISO3.MNP;Northern Mariana Islands;
ISO3.NOR;Norway;Noruega
ISO3.OMN;Oman;Omã
ISO3.PAK;Pakistan;Paquistão
ISO3.PLW;Palau;Palau
ISO3.PSE;Palestinian Territory;Estado da Palestina
ISO3.PAN;Panama;Panamá
ISO3.PNG;Papua New Guinea;Papua Nova Guiné
ISO3.PRY;Paraguay;Paraguai
ISO3.PER;Peru;Peru
ISO3.PHL;Philippines;Filipinas
ISO3.PCN;Pitcairn;
ISO3.POL;Poland;Polónia
ISO3.PRT;Portugal;Portugal
ISO3.PRI;Puerto Rico;
ISO3.QAT;Qatar;Catar
ISO3.REU;Réunion;
ISO3.ROU;Romania;Roménia
ISO3.RUS;Russian Federation;Rússia
ISO3.RWA;Rwanda;Ruanda
ISO3.BLM;Saint-Barthélemy;
ISO3.SHN;Saint Helena;
ISO3.KNA;Saint Kitts and Nevis;São Cristóvão e Neves
ISO3.LCA;Saint Lucia;Santa Lúcia
ISO3.MAF;Saint-Martin (French part);
ISO3.SPM;Saint Pierre and Miquelon;
ISO3.VCT;Saint Vincent and Grenadines;São Vicente e Granadinas
ISO3.WSM;Samoa;Samoa
ISO3.SMR;San Marino;São Marinho
ISO3.STP;Sao Tome and Principe;São Tomé e Príncipe
ISO3.SAU;Saudi Arabia;Arábia Saudita
ISO3.SEN;Senegal;Senegal
ISO3.SRB;Serbia;Sérvia
ISO3.SYC;Seychelles;Seicheles
ISO3.SLE;Sierra Leone;Serra Leoa
ISO3.SGP;Singapore;Singapura
ISO3.SVK;Slovakia;Eslováquia
ISO3.SVN;Slovenia;Eslovénia
ISO3.SLB;Solomon Islands;Salomão
ISO3.SOM;Somalia;Somália
ISO3.ZAF;South Africa;África do Sul
ISO3.SGS;South Georgia and the South Sandwich Islands;
ISO3.SSD;South Sudan;Sudão do Sul
ISO3.ESP;Spain;Espanha
ISO3.LKA;Sri Lanka;Sri Lanca
ISO3.SDN;Sudan;Sudão
ISO3.SUR;Suriname;Suriname
ISO3.SJM;Svalbard and Jan Mayen Islands;
ISO3.SWZ;Swaziland;Essuatíni
ISO3.SWE;Sweden;Suécia
ISO3.CHE;Switzerland;Suíça
ISO3.SYR;Syrian Arab Republic (Syria);Síria
ISO3.TWN;Taiwan, Republic of China;Taiuã
ISO3.TJK;Tajikistan;Tajiquistão
ISO3.TZA;Tanzania, United Republic of;Tanzânia
ISO3.THA;Thailand;Tailândia
ISO3.TLS;Timor-Leste;Timor-Leste
ISO3.TGO;Togo;Togo
ISO3.TKL;Tokelau;
ISO3.TON;Tonga;Tonga
ISO3.TTO;Trinidad and Tobago;Trindade e Tobago
ISO3.TUN;Tunisia;Tunísia
ISO3.TUR;Turkey;Turquia
ISO3.TKM;Turkmenistan;Turcomenistão
ISO3.TCA;Turks and Caicos Islands;
ISO3.TUV;Tuvalu;Tuvalu
ISO3.UGA;Uganda;Uganda
ISO3.UKR;Ukraine;Ucrânia
ISO3.ARE;United Arab Emirates;Emirados Árabes Unidos
ISO3.GBR;United Kingdom;Reino Unido
ISO3.USA;United States of America;Estados Unidos
ISO3.UMI;US Minor Outlying Islands;
ISO3.URY;Uruguay;Uruguai
ISO3.UZB;Uzbekistan;Usbequistão
ISO3.VUT;Vanuatu;Vanuatu
ISO3.VEN;Venezuela (Bolivarian Republic);Venezuela
ISO3.VNM;Viet Nam;Vietname
ISO3.VIR;Virgin Islands, US;
ISO3.ESH;Western Sahara;
ISO3.YEM;Yemen;Iémen
ISO3.ZMB;Zambia;Zâmbia
ISO3.ZWE;Zimbabwe;Zimbábue
IOS3.WWW;World;Mundo
ISO3.WA;Rest of Asia;Resto da Ásia
ISO3.WE;Rest of Europe;Resto da Europa
ISO3.WL;Rest of Latim America;Resto da América Latina
ISO3.WM;Rest of Middle East;Resto do Oriente Médio
ISO3.WLF;Rest of Africa;Resto da África
ISO3.ROW;Rest of World;Resto do Mundo
