cod_var;cod_group;type;Reverted;name;description
profit.s.us;Capital;usd;FALSE;Total profit (USD);Lucros totais em USD
compensation.empe.s.cu;Wages and value of labour force;usd;FALSE;Total real compensation of labour (constant USD);Soma dos salários pagos aos trabalhadores assalariados em USD constantes (ano base = 2000)
compensation.emp.s.cu;Wages and value of labour force;usd;FALSE;Total real wage (constant USD);Soma da remuneração paga às população ocupadas em USD constantes (ano base = 2000)
trade_balance.s.mv;International trade;value;FALSE;Trade balance (magnitude of value);Saldo da balança comercial em magnitude de valor
trade_balance.s.us;International trade;usd;FALSE;Trade balance (USD);Saldo da balança comercial em USD
value.m.mv;Product;value;FALSE;Value per output;Tempo de trabalho me média dispendido para a produção de cada USD 1,00 do produto total
trade_transfers.s.mv;International trade;value;FALSE;Value transfer through trade;Transferência de valor via trocas internacionais - horas de trabalho transferidas sem equivalente
trade_transfers.p.s.mv;International trade;value;FALSE;Value transfer through trade of productive sectors;Transferência de valor via trocas internacionais dos setores produtivos - horas de trabalho transferidas sem equivalente
trade_transfers.p.m.pc;International trade;percent;FALSE;Value transfer through trade of productive sectors (%);Transferência de valor via trocas internacionais dos setores produtivos (% do produto de valor do trabalho anual total)
trade_transfers.u.s.mv;International trade;value;FALSE;Value transfer through trade of unproductive sectors;Transferência de valor via trocas internacionais dos setores improdutivos - horas de trabalho transferidas sem equivalente
abstract_labour.empe.m.mv;Labour and employment;value;FALSE;Working day of employee per year (magnitude of value);"Magnitude of value ""created"" by employee in each year. Includes productive and unproductive workers."
abstract_labour.emp.m.mv;Labour and employment;value;FALSE;Working day of persons engaged per year (magnitude of value);Magnitude of value created by persons engaged in each year. Includes productive and unproductive workers.
